ID;Pytanie;PoprawnaOdpowiedz;Odpowiedz1;Odpowiedz2;Odpowiedz3;Odpowiedz4
1;Jab³ko to owoc czy warzywo;1;Owoc;Warzywo;Zalezy od kontekstu;Nie wiem
2;Warszawa to stolica Polski;1;Tak;Nie;Nie wiem;Zale¿y od kontekstu
3;Ktore z ponizszych miast jest stolica Polski;1;Warszawa;Kraków;Wroc³aw;Gdañsk
4;Kto jest prezydentem Polski;1;Andrzej Duda;Donald Tusk;Lech Wa³êsa;Aleksander Kwaœniewski
5;Ile wynosi 2+2;1;4;5;6;7
6;Ile ma lat prezydent Andrzej Duda;4;48;49;50;51
7;Jaki kraj jest najwiêkszym producentem jab³ek;3;Polska;Niemcy;Chiny;USA
8;Kiedy wybuch³a II wojna œwiatowa;1;1939;1940;1941;1942
9;Co oznacza skrót WWW;1;World Wide Web;World Wide Warez;World Wide Warez;World Wide Warez
10;Mam 3 jab³ka, 2 gruszki i 5 bananów. Ile mam owoców;4;10;9;8;7
